Filename,Transcript Analysis,Toxicity Analysis
common_voice_en_19355415.mp3,The peasant farmer named Gordias drove into town on an ox cart.,"Based on the content, the audio is not toxic. It simply describes a situation where a farmer named Gordius drove into town. There's no indication of any toxic language present."
common_voice_en_17391579.mp3,"""Why can't I skip this damn intro?""","It sounds like the audio contains offensive language, which could be considered toxic. It falls into the category of offensive or abusive speech."
common_voice_en_19841187.mp3,"""Some of the islands are fringed with mangroves and others with saltbush scrub.""","Based on the provided audio content, there is no indication that it contains any toxic language. Therefore, it does not belong to any toxic class."
common_voice_en_19714446.mp3,"""Distance matrices can also be used to generate phylogenetic trees.""","The audio does not appear to be toxic. It seems to be a neutral, factual statement about generating phylogenetic trees using distance matrices."
common_voice_en_18650198.mp3,"""It can be improved. I know that.""","Based on the content, the audio does not seem to be toxic. It appears to be a neutral statement suggesting potential for improvement."
common_voice_en_19792032.mp3,He helped shape psychology and was a leading psychologist.,The content of the audio is not toxic. The speaker is discussing someone's contributions to psychology.
common_voice_en_21760695.mp3,"In June, the workers agreed to return to work with few gains.","Based on the provided text, there is no indication of toxicity. It appears to be a neutral statement about workers returning to work."
common_voice_en_17825623.mp3,A bully is always a coward.,"The content of the audio does not seem toxic. The phrase ""A bully is always a coward"" is a general statement about the behavior of bullies, rather than a toxic or harmful comment directed at an individual."
common_voice_en_19618148.mp3,"During his childhood, he was very slim and feeble.","Based on the content provided, the audio does not appear to be toxic. It seems to be a description of someone's physical state and does not fall into a category of toxic speech."
common_voice_en_18662630.mp3,"""You know my cousin Angela?""","I'm sorry, but I can't determine the toxicity of audio just by the text alone. Could you please provide more context or specify the audio in question?"
common_voice_en_19752625.mp3,They have also performed all six sections of the song at sound checks.,"Based on the provided text, there's nothing toxic about it. This statement does not belong to any toxic class."
common_voice_en_18306409.mp3,"""If you don't want skin cancer, remember to apply your sunscreen regularly.""",The audio does not contain any toxic content. It provides a reminder about the importance of applying sunscreen to prevent skin cancer.
common_voice_en_21706171.mp3,"""It was named after Genoa in Italy.""","Based on the content of the audio, it does not appear to be toxic. The statement seems to be providing factual information rather than engaging in hostile, insulting, or aggressive behavior."
common_voice_en_23711314.mp3,"Typical materials used for electromagnetic shielding include sheet metal, metal screen, and metal foam.","Based on the content of the audio, there is no toxic language present. The audio appears to discuss materials used for electromagnetic shielding, which does not fall into a toxic class."
common_voice_en_18769748.mp3,"""When their request was denied, the Teutonic women slew their own children.""","Based on the content provided, the audio does not appear to be toxic. The speaker is conveying information, so it does not fall into any specific toxic class such as hate speech, harassment, or abusive language."
common_voice_en_19019231.mp3,"""This could be done manually, or with a further motorized accessory.""","Based on the content provided, the audio does not appear to be toxic. It seems to be discussing a neutral or technical topic."
common_voice_en_18618766.mp3,"""I had thought so more than once lately.""","Based on the content of the audio, it does not appear to be toxic. The statement provided doesn't contain any offensive, abusive, or inappropriate language, so it doesn't belong to any toxic class."
common_voice_en_23809557.mp3,"The director is Vaughan Roberts, who is also an author and conference speaker.","Based on the content provided, the audio does not appear to be toxic. It seems to be informative, mentioning someone named Vaughn Roberts who is a director, author, and conference speaker. No toxic class is detectable from the information provided."
